year,state,office,party,norm_vote_count
2016,AZ,House,DEM,0.04112428457869634
2016,AR,House,DEM,0.07647458791208792
2016,CA,House,DEM,0.008930202120609677
2016,CO,House,DEM,0.0624063503036887
2016,CT,House,DEM,0.10400623936471923
2016,DE,House,DEM,0.4795770020533881
2016,DC,House,DEM,0.6313761904761904
2016,FL,House,DEM,0.015959095569153876
2016,GA,House,DEM,0.03063035568274734
2016,HI,House,DEM,0.12420619946091645
2016,ID,House,DEM,0.132273417721519
2016,IL,House,DEM,0.02635536384096024
2016,IN,House,DEM,0.03547271073377805
2016,IA,House,DEM,0.10168512371756186
2016,KS,House,DEM,0.056672461752433935
2016,KY,House,DEM,0.05305965379494008
2016,LA,House,DEM,0.020964245893109343
2016,ME,House,DEM,0.2329078313253012
2016,MD,House,DEM,0.06567919075144509
2016,MA,House,DEM,0.07117540983606557
2016,MI,House,DEM,0.02962406217264517
2016,MS,House,DEM,0.06520231884057971
2016,MO,House,DEM,0.0390528802880288
2016,MT,House,DEM,0.35442168674698793
2016,NE,House,DEM,0.10965724206349206
2016,NV,House,DEM,0.09265371991247265
2016,NH,House,DEM,0.2205602883355177
2016,NJ,House,DEM,0.03644697879151661
2016,NM,House,DEM,0.159
2016,NY,House,DEM,0.017024388860529746
2016,NC,House,DEM,0.03173278338911762
2016,OH,House,DEM,0.02197416571475196
2016,OK,House,DEM,0.04100241805480924
2016,OR,House,DEM,0.08880461108523521
2016,PA,House,DEM,0.026822322850112688
2016,RI,House,DEM,0.24502602230483272
2016,SC,House,DEM,0.043169209431345355
2016,SD,House,DEM,0.30391304347826087
2016,TN,House,DEM,0.02782668580607676
2016,TX,House,DEM,0.00962779341521665
2016,UT,House,DEM,0.06371423462088699
2016,VA,House,DEM,0.038426625886048484
2016,WA,House,DEM,0.04444815668202765
2016,WV,House,DEM,0.0819456005841548
2016,WI,House,DEM,0.05191077339753235
2016,WY,House,DEM,0.24824342105263159
